recno,Seq,xpos,ypos,RAJ2000,DEJ2000,SE,isoArea,FKsap,e_FKsap,apcorr,KsR,FKsapD,e_FKsapD,apcorrD,FKsD,e_FKsD,FKsauto,R50,amaj,bmin,Rad,FKsall,e_FKsall,w_FKsall,Fu,e_Fu,w_Fu,FB,e_FB,w_FB,FV,e_FV,w_FV,FR,e_FR,w_FR,Fi,e_Fi,w_Fi,Fz,e_Fz,w_Fz,FJ1,e_FJ1,w_FJ1,FJ2,e_FJ2,w_FJ2,FJ3,e_FJ3,w_FJ3,FHs,e_FHs,w_FHs,FHl,e_FHl,w_FHl,FKs,e_FKs,w_FKs,FJ,e_FJ,w_FJ,FH,e_FH,w_FH,FK,e_FK,w_FK,FKsHI,e_FKsHI,w_FKsHI,F125W,e_F125W,w_F125W,F140W,e_F140W,w_F140W,F160W,e_F160W,w_F160W,F606W,e_F606W,w_F606W,F814W,e_F814W,w_F814W,FY,e_FY,w_FY,F3_6,e_F3_6,w_F3_6,F4_5,e_F4_5,w_F4_5,F5_8,e_F5_8,w_F5_8,F8_0,e_F8_0,w_F8_0,wminOpt,wminHST1,wminfs,wminjhk,wminHST2,wminIRAC,wminAll,Star,Nghb,Use,SNR,zspec,ra,dec
20,20,1774.856,50.419,34.355011,-5.3145938,0,625.0,77.592,0.07667,1.043883,2.325334,60.37157,0.07753,1.771907,106.9728,0.13737,172.8424,3.772,4.362,3.745,12.125,180.4273,0.42749,0.71,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,72.46413,0.16829,1.0,128.32306,0.34221,1.0,186.38172,0.20193,1.09,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.71,0.0,0.0,0.71,0,0,0,778.7175,,34.355011,-5.3145938
13,13,1530.136,65.403,34.3652534,-5.3139701,3,793.0,45.42435,0.07952,1.025573,2.948302,35.26651,0.08041,1.771907,62.48898,0.14248,130.5853,4.797,5.966,4.219,15.051,133.9247,0.5636,0.66,1.1616741087,0.10088,1.0,2.4561225,0.01705,1.0,4.98639032,0.02095,1.0,11.49734528,0.02682,1.0,19.98421425,0.0275,1.0,29.72792,0.07681,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,56.71039,0.21321,1.0,95.15886,0.43378,1.0,133.00448,0.2593,1.07,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.66,0.0,0.0,0.66,0,0,0,438.5839,,34.3652534,-5.3139701
15,15,1397.611,58.196,34.3708,-5.3142705,2,2278.0,208.4403,0.07459,1.009571,3.303787,166.4175,0.07543,1.771907,294.8763,0.13366,682.1141,5.43,7.23,6.125,19.964,688.6424,0.72874,0.75,5.340282777,0.11298,1.0,13.49823348,0.01912,1.0,33.2846298,0.02343,1.0,95.43788304,0.03009,1.0,155.0947629,0.03081,1.0,224.30394,0.08611,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,372.41029,0.239,1.0,560.64298,0.48683,1.0,691.82871,0.29187,1.06,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.75,0.0,0.0,0.75,0,0,0,2206.215,,34.3708,-5.3142705
7,7,1319.653,79.46,34.3740616,-5.313385,3,3631.0,159.7551,0.07777,0.9999232,3.97483,125.585,0.07864,1.771907,222.5249,0.13935,635.0483,6.686,9.685,8.213,26.756,634.9995,1.06674,0.69,1.489165932,0.13585,1.0,4.81965408,0.02301,1.0,18.8361591,0.02818,1.0,50.86900336,0.03619,1.0,113.6582265,0.03703,1.0,174.288,0.10353,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,318.15468,0.28751,1.0,493.88265,0.58574,1.0,639.25802,0.35384,1.05,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.69,0.0,0.0,0.69,0,0,0,1596.91,,34.3740616,-5.313385
19,19,1453.791,58.562,34.3684464,-5.3142552,0,407.0,15.22706,0.07613,1.045755,2.508357,11.88344,0.07699,1.771907,21.05635,0.13641,36.52375,4.075,4.242,3.71,11.901,38.1949,0.41593,0.72,0.3189612369,0.08581,1.0,0.3957931548,0.01451,1.0,0.864258362,0.0178,1.0,1.609870576,0.02284,1.0,3.314099124,0.0234,1.0,6.0706,0.06537,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,13.56784,0.18143,1.0,23.69239,0.3694,1.0,37.90026,0.22051,1.07,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.72,0.0,0.0,0.72,0,0,0,154.3571,,34.3684464,-5.3142552
41,41,1423.978,72.156,34.3696938,-5.3136888,3,235.0,4.66408,0.07459,1.054495,2.792535,3.65382,0.07543,1.771907,6.47423,0.13366,12.3515,4.412,4.014,3.343,10.99,13.0246,0.37622,0.74,1.570733904,0.09552,1.0,1.501517952,0.01615,1.0,1.92319315,0.01982,1.0,2.591581792,0.02541,1.0,4.214018865,0.02603,1.0,6.27509,0.07275,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,8.5597,0.20195,1.0,10.30761,0.41113,1.0,13.09068,0.2471,1.06,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.74,0.0,0.0,0.75,0,0,0,48.43913,,34.3696938,-5.3136888
84,84,1437.886,117.187,34.3691139,-5.3118124,3,429.0,9.21449,0.07721,1.032668,3.206131,7.04705,0.07808,1.771907,12.48672,0.13835,28.6083,5.097,5.358,3.903,13.719,29.54287,0.49343,0.7,3.223471014,0.10968,1.0,5.555354436,0.01853,1.0,7.557895845,0.02279,1.0,8.293680784,0.02911,1.0,8.77589202,0.02985,1.0,9.75161,0.08342,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,17.75353,0.23175,1.0,23.71316,0.47127,1.0,29.85952,0.27983,1.1,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.7,0.0,0.0,0.7,0,0,0,90.25569,,34.3691139,-5.3118124
184,184,1427.422,109.93,34.3695526,-5.3121147,3,151.0,5.51138,0.07667,1.087658,2.060454,4.52949,0.07699,1.771907,8.02583,0.13641,10.44073,3.333,3.136,2.699,8.728,11.35594,0.30104,0.71,1.56530628,0.07048,1.0,2.843201808,0.01191,1.0,4.163634635,0.01464,1.0,4.75420776,0.01872,1.0,4.693002552,0.01918,1.0,4.94179,0.05362,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,6.86826,0.14894,1.0,10.07281,0.30295,1.0,11.49499,0.18054,1.09,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.71,0.0,0.0,0.71,0,0,0,58.83468,,34.3695526,-5.3121147
21,21,1710.867,48.682,34.3576889,-5.3146663,2,244.0,5.52315,0.07721,1.057864,2.543528,4.32745,0.07808,1.771907,7.66783,0.13835,13.27985,4.087,3.797,3.342,10.687,14.04828,0.37534,0.7,,,0.0,0.9346297644,0.01472,1.0,1.36710301,0.0181,1.0,1.474259376,0.02314,1.0,1.613624166,0.02374,1.0,2.0266,0.06624,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,4.60065,0.18405,1.0,8.18212,0.37431,1.0,13.85374,0.22298,1.07,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.7,0.0,0.0,0.7,0,0,0,55.42413,,34.3576889,-5.3146663
149,149,1666.753,114.008,34.3595352,-5.311944,2,466.0,30.90779,0.07613,1.051883,2.154232,26.31985,0.07699,1.771907,46.63634,0.13641,63.29845,3.479,4.068,3.454,11.245,66.58254,0.39104,0.72,-0.10742509593,0.07363,1.0,0.1765519632,0.01245,1.0,0.4092515275,0.01536,1.0,1.051752848,0.01954,1.0,3.267290313,0.02005,1.0,7.17556,0.05599,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,27.65452,0.15567,1.0,45.47266,0.31625,1.0,65.61545,0.18679,1.11,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,,,,,,-99.0,,,-99.0,,1.0,0.0,0.0,0.72,0.0,0.0,0.72,0,0,0,341.8755,,34.3595352,-5.311944
